,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,loss,trial_number,accuracy,precision,recall,f1,auc
0,0.0,4.0,5.0,0.09644815942141266,0.09507810738935896,764.0,0.3842476434937132,0,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8274288399057314
1,0.0,30.0,3.0,0.2702743819487535,0.9525989135070063,315.0,0.42461143977791893,1,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
2,0.0,75.0,3.0,0.016759721447657083,0.3091637753653681,4.0,0.31275566804663824,2,0.6872443319533618,0.6286287886450213,0.7899014489363557,0.603614221426931,0.8322627439965192
3,0.0,97.0,3.0,0.41818357912881465,0.9944067668852297,83.0,0.7261656806662429,3,0.27383431933375707,0.13691715966687854,0.5,0.18110198003140715,0.5
4,0.0,45.0,2.0,0.43843645342055504,0.693032378715769,886.0,0.5753866546117872,4,0.4246133453882129,0.21230667269410644,0.5,0.2526320680897456,0.5
5,0.0,23.0,1.0,0.005949040241399639,0.7213835952465384,161.0,0.575388560222081,5,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
6,0.0,72.0,5.0,0.3319152168648555,0.9037366057597104,529.0,0.42461143977791893,6,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
7,0.0,32.0,4.0,0.22276734721163693,0.224943199528004,780.0,0.3842476434937132,7,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8247590321588983
8,0.0,18.0,5.0,0.12219138987914369,0.3817393895259594,487.0,0.3842476434937132,8,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.7736034528849005
9,0.0,36.0,0.0,0.15089721610570567,0.4715883353391921,256.0,0.374251804846066,9,0.625748195153934,0.6204966518241214,0.7790977526419525,0.5610406087044888,0.8261527121485722
10,0.0,61.0,1.0,0.32578299821416856,0.7826060844441202,418.0,0.575388560222081,10,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
11,0.0,67.0,4.0,0.4262199322575588,0.875773267750533,633.0,0.42461143977791893,11,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
12,0.0,28.0,2.0,0.036878753461150215,0.6673513806392529,140.0,0.575388560222081,12,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
13,0.0,54.0,1.0,0.11922967088799535,0.2804383402611895,355.0,0.3288728706752335,13,0.6711271293247665,0.6273159532639117,0.7906175578118007,0.59326098580554,0.8375373307484963
14,0.0,77.0,3.0,0.14303091349988362,0.34672873446514085,353.0,0.3842476434937132,14,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8482660501363398
15,0.0,26.0,5.0,0.45512375168558705,0.4399009333050983,468.0,0.42461143977791893,15,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
16,0.0,74.0,5.0,0.4213702362740208,0.7645715103377339,441.0,0.42461143977791893,16,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
17,0.0,34.0,5.0,0.12174964760819795,0.7418321161395005,21.0,0.7261656806662429,17,0.27383431933375707,0.13691715966687854,0.5,0.18110198003140715,0.5
18,0.0,57.0,3.0,0.3732539009316798,0.31460903987069433,274.0,0.575388560222081,18,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
19,0.0,71.0,1.0,0.17255954688242625,0.18895724053926755,345.0,0.3742865729700119,19,0.6257134270299881,0.6204878662615008,0.7790779291945311,0.5610135788591281,0.839055317570395
20,0.0,39.0,0.0,0.05680002521812288,0.018565504682118428,595.0,0.3111802370079455,20,0.6888197629920545,0.6294511738257199,0.7915245863314995,0.6050763713693618,0.8487565799095211
21,0.0,39.0,0.0,0.05419770048328604,0.003111570704671364,178.0,0.3107249915310659,21,0.6892750084689341,0.6299070277200683,0.7925469835425354,0.6056458051958791,0.8483898936787042
22,0.0,39.0,0.0,0.08115302897860668,0.02334567404731373,2.0,0.3002793391779528,22,0.6997206608220472,0.6307590974861599,0.7912500465816567,0.6121810080126755,0.842918941057522
23,0.0,86.0,0.0,0.07283190298360168,0.013638296560790448,2.0,0.3029554006340486,23,0.6970445993659514,0.6297689968703553,0.7896597422840624,0.6099834992153437,0.8443566265296123
24,0.0,86.0,0.0,0.1917720964824139,0.10716357919285723,579.0,0.37414424081523134,24,0.6258557591847687,0.6205206346475458,0.7791514909605278,0.5611225337684,0.8268684524539864
25,0.0,8.0,0.0,0.08169719746668239,0.5516150077635837,115.0,0.37359664278782745,25,0.6264033572121726,0.6206496053043227,0.7794409388417612,0.561543244703388,0.8263739049742581
26,0.0,38.0,0.0,0.2531332030282245,0.10634883873132595,2.0,0.31710494374779885,26,0.6828950562522011,0.6286482315614221,0.7911713400031304,0.6010976664668021,0.8271475318553246
27,0.0,87.0,0.0,0.49683305308748116,0.03543237753897179,584.0,0.42461143977791893,27,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
28,0.0,84.0,0.0,0.07528262763751001,0.17279140197825932,708.0,0.3068200953203374,28,0.6931799046796626,0.6293333765461743,0.7898548122222051,0.6074956471449321,0.8462199900995835
29,0.0,6.0,4.0,0.19783107082939477,0.5825419171537901,111.0,0.3842476434937132,29,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8247064674328504
30,0.0,2.0,0.0,0.0008634274773330342,0.09202004367691385,81.0,0.2971719375639036,30,0.7028280624360964,0.6338320890115581,0.7980390316903423,0.6160826186888206,0.8510131505936881
